Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
li a n									0.000	0	0	0.0		0		0	0.000		38	37	0	1	li a U, xu a n, K a n, t a n, li a N, u a n, p a n, Cu a n, T a n, ku a n, s a n, n a n, k a n, li E n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, l a n, x a n, lu a n, P a n, c a n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, a n	1624392
li a N									0.000	0	0	0.0		0		0	0.000		34	31	2	1	li a U, Xi a N, r a N, S a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, Su a N, c a N, ku a N, l a N, Ku a N, xu a N, P a N, ni a N, z a N, K a N, s a N, x a N, n a N, i li a N, li a N i, a N	1801285
li a r									0.000	0	0	0.0		0		0	0.000		2	2	0	0	li a U, li a N	1003743
li a U									0.000	0	0	0.0		0		0	0.000		33	29	3	1	x a U, i a U, t a U, Z a U, li a N, Ji a U, Xi a U, k a U, Ti a U, z a U, ti a U, l a U, li o U, P a U, p a U, S a U, Qi a U, K a U, T a U, C a U, m a U, c a U, mi a U, Pi a U, ni a U, n a U, pi a U, r a U, s a U, u li a U, i li a U, y li a U, a U	1229948
li E									0.000	0	0	0.0		0		0	0.000		19	16	3	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, ti E, mi E, ni E, ly E, ny E, Pi E, li E n, li E u, @ li E	358191
li E n									0.000	0	0	0.0		0		0	0.000		19	15	3	1	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n, li E u, li E n y, i li E n, li E n i, li E	468495
l i n									0.000	0	0	0.0		0		0	0.000		21	14	5	2	X i n, J i n, l i N, n i n, l a n, l i u, l u n, Q i n, P i n, l i i, m i n, p i n, y i n, l i y, l u i n, l i n y, l i a n, y l i n, u l i n, l i, i n	214207
l i N									0.000	0	0	0.0		0		0	0.000		24	16	6	2	T i N, J i N, X i N, Q i N, p i N, m i N, t i N, P i N, l i u, l a N, l @ N, l o N, l i n, l i i, n i N, l i y, l i N y, l u i N, l i a N, l i i N, l i N u, i l i N, l i, i N	370981
S u n									0.000	0	0	0.0		0		0	0.000		20	17	2	1	S @ n, S a n, x u n, t u n, k u n, C u n, l u n, S u y, Z u n, c u n, K u n, T u n, z u n, s u n, r u n, S u @, S u i, S u n y, i S u n, S u	73907
S u N									0.000	0	0	0.0		0		0	0.000		8	6	1	1	S a N, S @ N, S u y, S u n, S u @, S u i, S u i N, S u	162616
su o									0.000	0	0	0.0		0		0	0.000		16	14	2	0	u o, Su o, ku o, tu o, cu o, mu o, lu o, Tu o, pu o, Pu o, ru o, nu o, Cu o, Ku o, su o i, y su o	2191306
Su o									0.000	0	0	0.0		0		0	0.000		15	15	0	0	u o, ku o, tu o, cu o, su o, mu o, lu o, Tu o, pu o, Pu o, Su a, ru o, nu o, Cu o, Ku o	1953481
s y									0.000	0	0	0.0		0		0	0.000		15	12	2	1	Q y, s 1, J y, n y, X y, s @, s a, l y, s u, @ y, i y, y y, s 1 y, s u y, y	310703
S y									0.000	0	0	0.0		0		0	0.000		16	12	3	1	S 1, Q y, S a, S u, J y, n y, X y, S @, l y, @ y, i y, y y, S u y, S a y, S 1 y, y	1409619
sy E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	343528
Sy E									0.000	0	0	0.0		0		0	0.000		17	17	0	0	i E, pi E, Xi E, Ji E, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	343528
sy E n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n	482157
sy E N									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Sy E n									0.000	0	0	0.0		0		0	0.000		15	15	0	0	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, mi E n, Jy E n	482157
Sy E N									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
s y n									0.000	0	0	0.0		0		0	0.000		9	8	0	1	s a n, Q y n, J y n, X y n, s @ n, s u n, @ y n, u y n, y n	30256
s y N									0.000	0	0	0.0		0		0	0.000		3	3	0	0	s o N, s a N, s @ N	14941
S y n									0.000	0	0	0.0		0		0	0.000		9	8	0	1	S @ n, S a n, Q y n, J y n, X y n, S u n, @ y n, u y n, y n	33332
S y N									0.000	0	0	0.0		0		0	0.000		2	2	0	0	S a N, S @ N	138624
t @									0.000	0	0	0.0		0		0	0.000		22	17	4	1	Z @, k @, t a, n @, K @, t i, C @, x @, t u, S @, r @, T @, s @, l @, z @, c @, y @, t @ N, t @ i, t @ y, t a @, @	890318
T @									0.000	0	0	0.0		0		0	0.000		21	17	3	1	t @, T a, Z @, k @, n @, K @, C @, x @, T i, T u, S @, r @, s @, l @, z @, c @, y @, T @ N, T @ i, T @ u, @	3097399
t @ n									0.000	0	0	0.0		0		0	0.000		22	20	0	2	x @ n, r @ n, Z @ n, t a n, k @ n, m @ n, t @ N, u @ n, f @ n, S @ n, p @ n, t u n, K @ n, C @ n, z @ n, P @ n, s @ n, t @ i, t @ y, n @ n, t @, @ n	2545562
t @ N									0.000	0	0	0.0		0		0	0.000		26	23	2	1	n @ N, t a N, Z @ N, t o N, C @ N, S @ N, t i N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, t @ i, K @ N, t @ y, k @ N, u @ N, s @ N, t @ N y, i t @ N, t @	2030926
T @ N									0.000	0	0	0.0		0		0	0.000		24	23	0	1	n @ N, T i N, t @ N, Z @ N, C @ N, S @ N, f @ N, T o N, T a N, r @ N, m @ N, z @ N, P @ N, l @ N, c @ N, x @ N, p @ N, K @ N, T @ i, k @ N, u @ N, T @ u, s @ N, T @	410756
t @ r									0.000	0	0	0.0		0		0	0.000		8	5	1	2	t @ N, t @ i, t @ y, y @ r, i @ r, t i @ r, t @, @ r	1784576
T @ r									0.000	0	0	0.0		0		0	0.000		7	5	0	2	T @ N, T @ i, y @ r, T @ u, i @ r, @ r, T @	62951
t a									0.000	0	0	0.0		0		0	0.000		38	30	7	1	t @, T a, p a, m a, n a, Xi a, xu a, Ji a, t i, S a, l a, i a, C a, u a, t u, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, t a U, t a n, t a I, t a N, t a i, t a y, t a @, a	4042705
T a									0.000	0	0	0.0		0		0	0.000		35	30	4	1	p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, T i, C a, u a, f a, Zu a, P a, T u, x a, T @, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, T a I, T a n, T a U, T a N, a	1537495
