Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
C i E									0.000	0	0	0.0		0		0	0.000		14	11	2	1	p i E, X i E, J i E, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, P i E, C @ i E, C a i E, i E	297443
c i E n									0.000	0	0	0.0		0		0	0.000		16	13	2	1	Q i E n, t i E n, J i E n, T i E n, n i E n, X i E n, p i E n, l i E n, P i E n, m i E n, y i E n, i i E n, u i E n, c @ i E n, c 1 i E n, i E n	438330
C i E n									0.000	0	0	0.0		0		0	0.000		15	13	1	1	Q i E n, t i E n, J i E n, T i E n, n i E n, X i E n, p i E n, l i E n, P i E n, m i E n, y i E n, i i E n, u i E n, C u i E n, i E n	438111
c i n									0.000	0	0	0.0		0		0	0.000		12	11	0	1	X i n, J i n, n i n, Q i n, c a n, P i n, c u n, l i n, m i n, p i n, y i n, i n	104481
c i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, c o N, J i N, X i N, Q i N, p i N, l i N, m i N, t i N, P i N, c a N, c @ N, n i N, i N	350008
C i n									0.000	0	0	0.0		0		0	0.000		13	12	0	1	X i n, J i n, n i n, C u n, Q i n, P i n, C @ n, l i n, C a n, m i n, p i n, y i n, i n	107387
C i N									0.000	0	0	0.0		0		0	0.000		14	13	0	1	T i N, J i N, X i N, Q i N, p i N, C a N, l i N, C @ N, m i N, t i N, C o N, P i N, n i N, i N	345449
c i o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
c i o N									0.000	0	0	0.0		0		0	0.000		8	6	0	2	X i o N, Q i o N, u i o N, J i o N, i i o N, y i o N, i o N, c o N	105143
C i o n									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C i o N									0.000	0	0	0.0		0		0	0.000		8	6	0	2	X i o N, Q i o N, u i o N, J i o N, i i o N, y i o N, i o N, C o N	66829
c i o U									0.000	0	0	0.0		0		0	0.000		9	7	0	2	J i o U, Q i o U, l i o U, X i o U, t i o U, n i o U, m i o U, i o U, c o U	687341
